name,location,price,area,bhk
Jai Hanuman Residency,"3 BHK Flat in Konnagar, Hooghly",₹26.93 Lac,"1,036 sqft",3 BHK
Jai Hanuman Residency,"3 BHK Flat in Konnagar, Hooghly",₹26.93 Lac,"1,036 sqft",3 BHK
Jai Hanuman Residency,"3 BHK Flat in Konnagar, Hooghly",₹26.93 Lac,"1,036 sqft",3 BHK
"Swan Court
3.1","2 BHK Flat in New Town, Kolkata",₹80 Lac,"1,012 sqft",2 BHK
Ambey Eco Valley,"2 BHK Flat in New Town, Kolkata",₹90 Lac,941 sqft,2 BHK
Mani Casa,"3 BHK Flat in New Town, Kolkata",₹2 Cr,"1,515 sqft",3 BHK
"Rishi Ecoview
3.8","2 BHK Flat in New Town, Kolkata",₹90 Lac,"1,350 sqft",2 BHK
ANAMIKA CHS,"3 BHK Flat in Action Area 1, Kolkata",₹95 Lac,"1,480 sqft",3 BHK
"South City
3.9","4 BHK Flat in Prince Anwar Shah Rd, Kolkata",₹4 Cr,"2,068 sqft",4 BHK
"Urbana
3.7","3 BHK Flat in EM Bypass, Kolkata South",₹3.5 Cr,"2,050 sqft",3 BHK
Jeet Group,"2 BHK Independent Builder Floor in Nayabad, Kolkata",₹45 Lac,981 sqft,2 BHK
"Siddha Eden LakeVille
3.9","3 BHK Flat in BT Road, Kolkata",₹1.25 Cr,"1,450 sqft",3 BHK
Jeet Group,"2 BHK Independent Builder Floor in Nayabad, Kolkata",₹39.15 Lac,870 sqft,2 BHK
Sova Villa,"2 BHK Flat in Madhyamgram, Kolkata",₹29.09 Lac,831 sqft,2 BHK
Jeet Group,"3 BHK Independent Builder Floor in Purbalok, EM Bypass",₹84.57 Lac,"1,301 sqft",3 BHK
Jeet Group,"3 BHK Flat in Nayabad, Kolkata",₹49.86 Lac,"1,108 sqft",3 BHK
"Shrachi Greenwood Elements
3.9","2 BHK Flat in New Town, Kolkata",₹56 Lac,822 sqft,2 BHK
"South City
4.0","3 BHK Flat in Prince Anwar Shah Rd, Kolkata",₹2.35 Cr,"1,472 sqft",3 BHK
"The Soul
3.8","2 BHK Flat in Rajarhat, Kolkata",₹80 Lac,610 sqft,2 BHK
"Siddha Happyville
4.2","3 BHK Flat in Rajarhat, Kolkata",₹1.13 Cr,"1,397 sqft",3 BHK
"Elita Garden Vista
4.3","3 BHK Flat in New Town, Kolkata",₹1.24 Cr,"1,742 sqft",3 BHK
DTC Southern Heights,"3 BHK Flat in Joka, Kolkata South",₹83 Lac,"1,370 sqft",3 BHK
Soma Villa,"2 BHK Flat in Madhyamgram, Kolkata",₹30.34 Lac,867 sqft,2 BHK
Rani Kuthi,"2 BHK Flat in Madhyamgram, Kolkata",₹27.19 Lac,824 sqft,2 BHK
Soma villa,"2 BHK Flat in Madhyamgram, Kolkata",₹31.57 Lac,902 sqft,2 BHK
INDIVIDUAL APARTMENT,"2 BHK Flat in Action Area 1, Kolkata",₹65 Lac,"1,098 sqft",2 BHK
"Rishi Ecoview
3.8","3 BHK Flat in New Town, Kolkata",₹83 Lac,"1,384 sqft",3 BHK
Jeet Group,"3 BHK Independent Builder Floor in Madurdaha, EM Bypass",₹67 Lac,"1,275 sqft",3 BHK
Jeet Group,"3 BHK Flat in Nayabad, Kolkata",₹50 Lac,"1,108 sqft",3 BHK
Jeet Group,"2 BHK Independent Builder Floor in Nayabad, Kolkata",₹45 Lac,980 sqft,2 BHK
jonaki,"2 BHK Flat in Sodepur, Kolkata North",₹28.8 Lac,884 sqft,2 BHK
Jeet Group,"3 BHK Independent Builder Floor in Nayabad, Kolkata",₹50 Lac,"1,090 sqft",3 BHK
Aristocrat,"2 BHK Flat in Sodepur, Kolkata North",₹34 Lac,"1,000 sqft",2 BHK
Rani Kuthi,"2 BHK Flat in Madhyamgram, Kolkata",₹25.61 Lac,776 sqft,2 BHK
Ranikuthi,"2 BHK Flat in Madhyamgram, Kolkata",₹25.01 Lac,758 sqft,2 BHK
Sova Villa,"2 BHK Flat in Madhyamgram, Kolkata",₹31.08 Lac,888 sqft,2 BHK
Sova Villa,"2 BHK Flat in Madhyamgram, Kolkata",₹31.08 Lac,888 sqft,2 BHK
Cooperative flat,"3 BHK Flat in New Town, Kolkata",₹87 Lac,"1,181 sqft",3 BHK
Sristi Apartment,"2 BHK Independent Builder Floor in Sakher Bazar, Barisha",₹29 Lac,672 sqft,2 BHK
"PS ONE 10
4.2","4 BHK Flat in New Town, Kolkata",₹2.8 Cr,"2,166 sqft",4 BHK
Anupama Co operative Society,"3 BHK Flat in VIP Road, Kolkata",₹52 Lac,"1,150 sqft",3 BHK
sarovaar,"3 BHK Flat in Action Area 3, Kolkata",₹60.97 Lac,"1,163 sqft",3 BHK
sarovaar,"3 BHK Flat in Action Area 3, Kolkata",₹59.05 Lac,"1,125 sqft",3 BHK
sarovaar,"1 BHK Flat in Action Area 3, Kolkata",₹32.7 Lac,606 sqft,1 BHK
Sarovaar,"2 BHK Flat in New Town, Kolkata",₹47.68 Lac,901 sqft,2 BHK
sarovaar,"1 BHK Flat in Action Area 3, Kolkata",₹32.7 Lac,606 sqft,1 BHK
Sarovaar Apartment,"1 BHK Flat in Action Area 3, Kolkata",₹31.13 Lac,575 sqft,1 BHK
Eden Brookside,"3 BHK Flat in Thakurpukur, Kolkata",₹43 Lac,"1,140 sqft",3 BHK
Sova Villa,"2 BHK Flat in Madhyamgram, Kolkata",₹31.08 Lac,888 sqft,2 BHK
Sova villa,"2 BHK Flat in Madhyamgram, Kolkata",₹29.37 Lac,839 sqft,2 BHK
Tirath Apartment,"3 BHK Flat in Chinar Park, Kolkata",₹74 Lac,"1,353 sqft",3 BHK
"Swan Court
3.1","3 BHK Flat in New Town, Kolkata",₹1.4 Cr,"1,670 sqft",3 BHK
Tata 88 East,"3 BHK Flat in Alipore, Kolkata",₹4.5 Cr,"1,500 sqft",3 BHK
"Rishi Ecoview
3.8","3 BHK Flat in New Town, Kolkata",₹95 Lac,"1,384 sqft",3 BHK
"Siddha Eden LakeVille
3.9","2 BHK Flat in BT Road, Kolkata",₹51 Lac,725 sqft,2 BHK
S U Abason,"2 BHK Flat in Uttarpara, Hooghly",₹34 Lac,848 sqft,2 BHK
Shakuntala II,"2 BHK Flat in Nayabad, Kolkata",₹41 Lac,825 sqft,2 BHK
Shakuntala II,"2 BHK Flat in Nayabad, Kolkata",₹38 Lac,775 sqft,2 BHK
On Request,"3 BHK Flat in Purbalok, EM Bypass",₹90 Lac,"1,307 sqft",3 BHK
Sova villa,"2 BHK Flat in Madhyamgram, Kolkata",₹29.08 Lac,831 sqft,2 BHK
Tirupati Paradise,"2 BHK Flat in Narendrapur, Kolkata",₹32.83 Lac,938 sqft,2 BHK
"Tata Eden Court
3.9","3 BHK Flat in Action Area 2E, Kolkata",₹1.75 Cr,"2,180 sqft",3 BHK
"Bengal DCL Sampoorna
3.8","5 BHK Flat in Action Area 2, Kolkata",₹3.03 Cr,"3,700 sqft",5 BHK
Greenfield Ambition,"2 BHK Flat in Rajarhat, Kolkata",₹56 Lac,780 sqft,2 BHK
On Request,"4 BHK Flat in Jodhpur Park, Kolkata",₹4.7 Cr,"5,000 sqft",4 BHK
"Bengal DCL Sampoorna
3.8","5 BHK Flat in Action Area 2, Kolkata",₹3.3 Cr,"3,303 sqft",5 BHK
On Request,"4 Bedroom House in Abdalpur, Madhyamgram",₹60 Lac,"2,500 sqft",4 BHK
On Request,"2 Bedroom House in Abdalpur, Madhyamgram",₹38 Lac,"1,080 sqft",2 BHK
Rani Kuthi,"1 BHK Flat in Madhyamgram, Kolkata",₹18.51 Lac,561 sqft,1 BHK
Rani Kuthi,"2 BHK Flat in Madhyamgram, Kolkata",₹24.68 Lac,748 sqft,2 BHK
"Shivam Prisma, Uttarpara","3 BHK Flat in Makhla Government Colony, Uttarpara",₹28.49 Lac,"1,075 sqft",3 BHK
Rani Kuthi,"1 BHK Flat in Madhyamgram, Kolkata",₹16.43 Lac,498 sqft,1 BHK
sarovaar,"2 BHK Flat in Action Area 3, Kolkata",₹47.68 Lac,901 sqft,2 BHK
sarovaar,"2 BHK Flat in Action Area 3, Kolkata",₹51.23 Lac,971 sqft,2 BHK
Gk mansion,"2 BHK Flat in Birati, Kolkata",₹29.75 Lac,850 sqft,2 BHK
sarovaar,"2 BHK Flat in Action Area 3, Kolkata",₹51.23 Lac,971 sqft,2 BHK
On Request,"3 BHK Flat in Lake View Road, Ballygunge",₹1.8 Cr,"1,550 sqft",3 BHK
On Request,"6 Bedroom House in Panditiya Road , Ballygunge",₹3.2 Cr,"3,000 sqft",6 BHK
On Request,"3 BHK Flat in Hazra Road, Kolkata",₹1.22 Cr,"1,283 sqft",3 BHK
On Request New,"3 BHK Flat in Madurdaha, EM Bypass",₹1.01 Cr,"1,550 sqft",3 BHK
On Request New,"3 BHK Flat in Madurdaha, EM Bypass",₹80 Lac,"1,240 sqft",3 BHK
On Request,"3 BHK Flat in New Garia, Kolkata",₹92.56 Lac,"1,424 sqft",3 BHK
"Siddha Eden LakeVille
3.9","2 BHK Flat in BT Road, Kolkata",₹66 Lac,840 sqft,2 BHK
"Siddha Eden LakeVille
3.9","2 BHK Flat in BT Road, Kolkata",₹64 Lac,795 sqft,2 BHK
On Request,"3 BHK Flat in Madurdaha, EM Bypass",₹57 Lac,"1,450 sqft",3 BHK
On Request New,"3 BHK Independent Builder Floor in Thakurpukur, Kolkata",₹34.85 Lac,"1,025 sqft",3 BHK
"Emami City
4.2","2 BHK Flat in Jessore Road, Kolkata",₹1 Cr,"1,150 sqft",2 BHK
"The Soul
3.8","3 BHK Flat in Rajarhat, Kolkata",₹1.35 Cr,"1,310 sqft",3 BHK
"Ideal AquaView
3.7","3 BHK Flat in New Town, Kolkata",₹1.27 Cr,"1,475 sqft",3 BHK
On Request,"2 BHK Independent Builder Floor in Bansdroni, Kolkata",₹53 Lac,900 sqft,2 BHK
On Request,"3 BHK Independent Builder Floor in Bansdroni, Kolkata",₹71.5 Lac,"1,100 sqft",3 BHK
On Request,"2 BHK Independent Builder Floor in Garia, Kolkata",₹36 Lac,774 sqft,2 BHK
"Hiland Park
3.6","3 BHK Flat in EM Bypass, Kolkata South",₹1.05 Cr,"1,264 sqft",3 BHK
On Request,"3 BHK Flat in Lake View Road, Ballygunge",₹2.2 Cr,"1,850 sqft",3 BHK
Residential Apartment,"2 BHK Flat in Jodhpur Park, Kolkata",₹42 Lac,725 sqft,2 BHK
On request,"2 BHK Flat in Madurdaha, EM Bypass",₹41 Lac,850 sqft,2 BHK
Eden Tolly Greenwood,"2 BHK Flat in Ramchandrapur, Narendrapur",₹36 Lac,"1,196 sqft",2 BHK
Nirmala Orchid,"3 BHK Flat in South Dumdum, Kolkata",₹1.06 Cr,"1,397 sqft",3 BHK
Nirmala Orchid,"2 BHK Flat in South Dumdum, Kolkata",₹57.9 Lac,919 sqft,2 BHK
On Request,"3 BHK Flat in Mukundapur, Kolkata",₹95 Lac,"1,300 sqft",3 BHK
On Request,"3 BHK Flat in Jodhpur Park, Kolkata",₹1.6 Cr,"1,450 sqft",3 BHK
On Request,"2 BHK Independent Builder Floor in Ganguly Bagan, Kolkata",₹55.25 Lac,850 sqft,2 BHK
"Hiland Park
3.6","2 BHK Flat in EM Bypass, Kolkata South",₹90 Lac,"1,206 sqft",2 BHK
Sova villa,"2 BHK Flat in Madhyamgram, Kolkata",₹29.09 Lac,831 sqft,2 BHK
"Madhyamgram, Kolkata, Kolkata North","3 Bedroom House in Madhyamgram, Kolkata",₹56 Lac,"1,500 sqft",3 BHK
"Rishi Ecoview
3.8","3 BHK Flat in New Town, Kolkata",₹88 Lac,"1,316 sqft",3 BHK
Ganga Jamuna Apartment,"3 BHK Flat in Tollygunge, Kolkata",₹1.3 Cr,"1,025 sqft",3 BHK
Protiti,"3 BHK Flat in Jodhpur Park, Kolkata",₹1.65 Cr,"1,500 sqft",3 BHK
Protiti,"6 BHK Flat in Jodhpur Park, Kolkata",₹3.25 Cr,"3,000 sqft",6 BHK
Upohar The Condoville,"4 BHK Flat in Garia, Kolkata",₹2.9 Cr,"3,620 sqft",4 BHK
Eden Pavilion,"3 BHK Flat in Fartabad, Garia",₹75 Lac,"1,404 sqft",3 BHK
Bakul Binayak,"3 BHK Flat in Nayabad, Kolkata",₹62 Lac,"1,350 sqft",3 BHK
Standalone Apartments,"3 BHK Flat in Jodhpur Park, Kolkata",₹1.9 Cr,"1,712 sqft",3 BHK
Chorus Apartment,"3 BHK Flat in New Town, Kolkata",₹1.43 Cr,"1,550 sqft",3 BHK
Green Verge,"2 BHK Flat in New Town, Kolkata",₹62 Lac,"1,050 sqft",2 BHK
Hidco Appartment,"3 BHK Flat in New Town, Kolkata",₹98 Lac,"1,350 sqft",3 BHK
Aqua view,"2 BHK Flat in New Town, Kolkata",₹62 Lac,900 sqft,2 BHK
AGR,"3 BHK Flat in Action Area 1, Kolkata",₹1.2 Cr,"1,700 sqft",3 BHK
"Tata Avenida
4.0","3 BHK Flat in New Town, Kolkata",₹3.02 Cr,"2,385 sqft",3 BHK
Mohorkunja II,"3 BHK Flat in Chit Kalikapur, Mukundapur",₹69 Lac,"1,117 sqft",3 BHK
Soma villa,"2 BHK Flat in Madhyamgram, Kolkata",₹26.6 Lac,760 sqft,2 BHK
Soma villa,"3 BHK Flat in Madhyamgram, Kolkata",₹35.84 Lac,"1,024 sqft",3 BHK
Standalone Building,"3 BHK Independent Builder Floor in New Town, Kolkata",₹97 Lac,"1,310 sqft",3 BHK
"Rajwada Altitude
3.6","3 BHK Flat in EM Bypass, Kolkata South",₹1.06 Cr,"1,455 sqft",3 BHK
On Request,"3 BHK Independent Builder Floor in Purba Barisha, Kolkata",₹60 Lac,"1,131 sqft",3 BHK
SANGEETAYAN,"2 BHK Flat in Garia, Kolkata",₹35 Lac,"1,000 sqft",2 BHK
khatti mithi,"2 BHK Flat in Naktala, Garia",₹48 Lac,799 sqft,2 BHK
Tripurasundari Apartment,"3 BHK Flat in Mahamayatala, Garia",₹50 Lac,"1,210 sqft",3 BHK
Basant Bahar Kolkata,"2 BHK Flat in Mahamayatala, Garia",₹38 Lac,800 sqft,2 BHK
"Deeshari Megacity
3.7","4 BHK Flat in Southern Bypass, Kolkata",₹45 Lac,"1,292 sqft",4 BHK
"Deeshari Megacity
3.7","3 BHK Flat in Southern Bypass, Kolkata",₹38.25 Lac,"1,268 sqft",3 BHK
"Deeshari Megacity
3.7","3 BHK Flat in Southern Bypass, Kolkata",₹37.25 Lac,"1,268 sqft",3 BHK
"Deeshari Megacity
3.7","3 BHK Flat in Southern Bypass, Kolkata",₹38 Lac,"1,268 sqft",3 BHK
Atri Aqua,"2 BHK Flat in Narendrapur, Kolkata",₹40 Lac,856 sqft,2 BHK
Atri Aqua,"2 BHK Flat in Narendrapur, Kolkata",₹35 Lac,856 sqft,2 BHK
Atri Aqua,"1 BHK Flat in Narendrapur, Kolkata",₹27.5 Lac,694 sqft,1 BHK
Atri Aqua,"3 BHK Flat in Narendrapur, Kolkata",₹49 Lac,"1,162 sqft",3 BHK
Atri Aqua,"3 BHK Flat in Narendrapur, Kolkata",₹50 Lac,"1,162 sqft",3 BHK
Atri Rays,"3 BHK Flat in Narendrapur, Kolkata",₹46 Lac,"1,018 sqft",3 BHK
On Request,"2 BHK Flat in Saha Para, Fartabad, Garia",₹58.5 Lac,"1,044 sqft",2 BHK
Unitech Universal Cascades,"2 BHK Flat in New Town, Kolkata",₹96 Lac,"1,475 sqft",2 BHK
sarovaar,"1 BHK Flat in Action Area 3, Kolkata",₹32.7 Lac,606 sqft,1 BHK
dream bhagirathi apartment,"3 BHK Flat in Pathanpur, Birati, Kolkata",₹38.34 Lac,"1,065 sqft",3 BHK
on Request,"2 BHK Flat in Baguihati, VIP Road",₹27.45 Lac,686 sqft,2 BHK
Rani Kuthi,"2 BHK Flat in Madhyamgram, Kolkata",₹24.68 Lac,748 sqft,2 BHK
On Request,"3 BHK Flat in Purbalok, EM Bypass",₹90 Lac,"1,300 sqft",3 BHK
OAS Lake Life Township,"3 BHK Flat in Joka, Kolkata South",₹23 Lac,888 sqft,3 BHK
OAS Lake Life Township,"4 Bedroom House in Joka, Kolkata South",₹86 Lac,"1,800 sqft",4 BHK
OAS Lake Life Township,"4 Bedroom House in Joka, Kolkata South",₹85 Lac,"2,160 sqft",4 BHK
OAS Lake Life Township,"3 Bedroom House in Joka, Kolkata South",₹65 Lac,"2,160 sqft",3 BHK
OAS Lake Life Township,"3 Bedroom House in Joka, Kolkata South",₹52.25 Lac,"1,293 sqft",3 BHK
OAS Lake Life Township,"3 Bedroom House in Joka, Kolkata South",₹1.1 Cr,"2,880 sqft",3 BHK
OAS Lake Life Township,"3 Bedroom House in Joka, Kolkata South",₹80 Lac,"2,160 sqft",3 BHK
OAS Lake Life Township,"3 Bedroom House in Joka, Kolkata South",₹65 Lac,"1,800 sqft",3 BHK
OAS Lake Life Township,"2 Bedroom House in Joka, Kolkata South",₹39 Lac,"1,080 sqft",2 BHK
OAS Lake Life Township,"3 BHK Independent Builder Floor in Joka, Kolkata South",₹48 Lac,"1,200 sqft",3 BHK
Shakuntala II,"3 BHK Flat in Nayabad, Kolkata",₹48 Lac,"1,050 sqft",3 BHK
MEGA STAR CHS,"3 BHK Flat in Action Area 1, Kolkata",₹82 Lac,"1,250 sqft",3 BHK
Eden Harmony,"3 BHK Flat in EM Bypass, Kolkata South",₹58 Lac,"1,176 sqft",3 BHK
On Request,"2 BHK Independent Builder Floor in Purba Barisha, Kolkata",₹40 Lac,775 sqft,2 BHK
Charu Residency,"2 BHK Flat in Tollygunge, Kolkata",₹70 Lac,931 sqft,2 BHK
SANKAlPA APARTMENT,"2 BHK Flat in Manton, Diamond Harbour Road",₹39 Lac,800 sqft,2 BHK
Rajwada Pebble Bay,"2 BHK Flat in Pratapgarh, Garia",₹55 Lac,965 sqft,2 BHK
alokananda,"2 BHK Flat in Boalia, Rajpur Sonarpur",₹41.4 Lac,900 sqft,2 BHK
"Bengal Shapoorji Shukhobristhi
4.3","3 BHK Flat in New Town, Kolkata",₹57 Lac,902 sqft,3 BHK
On Request,"2 Bedroom House in Abdalpur, Madhyamgram",₹34 Lac,"1,080 sqft",2 BHK
Jeet Group,"2 BHK Independent Builder Floor in Nayabad, Kolkata",₹41.4 Lac,920 sqft,2 BHK
Jeet Group,"3 BHK Independent Builder Floor in Nayabad, Kolkata",₹50.4 Lac,"1,120 sqft",3 BHK
Jeet Group,"3 BHK Flat in Purbalok, EM Bypass",₹85.15 Lac,"1,310 sqft",3 BHK
Jeet Group,"3 BHK Independent Builder Floor in Madurdaha, EM Bypass",₹65 Lac,"1,270 sqft",3 BHK
Jeet Group,"3 BHK Flat in Nayabad, Kolkata",₹50 Lac,"1,115 sqft",3 BHK
Magnolia Grand,"3 BHK Flat in Chotto Chandpur, Kolkata",₹52 Lac,"1,228 sqft",3 BHK
Jeet Group,"3 BHK Independent Builder Floor in Nayabad, Kolkata",₹49.95 Lac,"1,110 sqft",3 BHK
"Siddha Happyville
4.2","2 BHK Flat in Rajarhat, Kolkata",₹76 Lac,"1,080 sqft",2 BHK
Jeet Group,"3 BHK Independent Builder Floor in Madurdaha, EM Bypass",₹67 Lac,"1,170 sqft",3 BHK
On Request,"2 BHK Flat in Hindustan More, Garia",₹52 Lac,"1,040 sqft",2 BHK
"Durga Apartment, Uttarpara","2 BHK Flat in Hindmotor, Uttarpara",₹24.5 Lac,970 sqft,2 BHK
Sai Residency,"2 BHK Flat in Uttarpara, Hooghly",₹34.5 Lac,887 sqft,2 BHK
"Shivam Prisma, Uttarpara","2 BHK Flat in Makhla, Uttarpara",₹19.32 Lac,805 sqft,2 BHK
BB pride,"3 BHK Flat in Action Area 1, Kolkata",₹99 Lac,"1,480 sqft",3 BHK
on request,"2 BHK Flat in Mahamayatala, Garia",₹51.5 Lac,"1,025 sqft",2 BHK
Green Field City,"3 BHK Flat in Maheshtala, Kolkata",₹36 Lac,893 sqft,3 BHK
Green Field City,"3 BHK Flat in Maheshtala, Kolkata",₹55 Lac,"1,110 sqft",3 BHK
Green Field City,"3 BHK Flat in Maheshtala, Kolkata",₹60 Lac,"1,358 sqft",3 BHK
Nataraj,"2 BHK Flat in Mahamayatala, Garia",₹35 Lac,980 sqft,2 BHK
On Request,"2 BHK Flat in Mahamayatala, Garia",₹51 Lac,"1,025 sqft",2 BHK
Eden Saffron,"3 BHK Flat in Nayabad, Kolkata",₹65 Lac,"1,223 sqft",3 BHK
Exide apartment,"3 BHK Flat in Action Area 1, Kolkata",₹1.1 Cr,"1,470 sqft",3 BHK
Greenfield City Elite,"3 BHK Flat in Behala, Kolkata",₹61 Lac,"1,250 sqft",3 BHK
"Bengal Peerless Avidipta Phase 2
4.1","3 BHK Flat in Mukundapur, Kolkata",₹2.4 Cr,"1,677 sqft",3 BHK
Residential Apartment,"2 BHK Flat in South Dumdum, Kolkata",₹46 Lac,700 sqft,2 BHK
Mohorkunja II,"3 BHK Flat in Chit Kalikapur, Mukundapur",₹69.5 Lac,"1,117 sqft",3 BHK
Mohorkunja II,"3 BHK Flat in Chit Kalikapur, Mukundapur",₹70 Lac,"1,168 sqft",3 BHK
Eden Pavilion,"3 BHK Flat in Fartabad, Garia",₹75 Lac,"1,251 sqft",3 BHK
Pelican Breeze,"2 BHK Flat in Nayabad, Kolkata",₹45 Lac,979 sqft,2 BHK
"Unimark Springfield
3.7","2 BHK Flat in Rajarhat, Kolkata",₹55 Lac,950 sqft,2 BHK
PS Palm Spring,"3 BHK Flat in Tangra, Kolkata",₹1.5 Cr,"1,381 sqft",3 BHK
On Request,"4 BHK Flat in New Alipore Block G, Kolkata",₹2.6 Cr,"2,400 sqft",4 BHK
"Mani Vista
3.8","3 BHK Flat in Tollygunge, Kolkata",₹2.9 Cr,"1,925 sqft",3 BHK
Merlin Elements,"4 BHK Flat in New Alipore, Kolkata",₹2.4 Cr,"2,150 sqft",4 BHK
"Ideal Exotica
3.9","4 BHK Flat in New Alipore, Kolkata",₹4.45 Cr,"3,305 sqft",4 BHK
"Ideal Exotica
3.9","3 BHK Flat in New Alipore, Kolkata",₹3.5 Cr,"2,560 sqft",3 BHK
On Request,"7 Bedroom House in New Alipore, Kolkata",₹4.95 Cr,"2,200 sqft",7 BHK
Srijan Natura,"3 BHK Flat in New Alipore, Kolkata",₹1.44 Cr,"1,224 sqft",3 BHK
"Morya
3.6","3 BHK Flat in Tollygunge, Kolkata",₹1.8 Cr,"1,400 sqft",3 BHK
"Morya
3.6","4 BHK Flat in Tollygunge, Kolkata",₹3.05 Cr,"2,700 sqft",4 BHK
"Hiland Park
3.6","3 BHK Flat in EM Bypass, Kolkata South",₹1.1 Cr,"1,328 sqft",3 BHK
"Old Plaza, New Booking","3 BHK Flat in Barrackpore, Kolkata",₹59.18 Lac,"1,409 sqft",3 BHK
Siv Shankar Apartmemt,"1 BHK Flat in Barrackpore, Kolkata",₹24.7 Lac,650 sqft,1 BHK
"Rishi Ecoview
3.8","3 BHK Flat in New Town, Kolkata",₹95 Lac,"1,401 sqft",3 BHK
FM Dream Villa,"4 BHK Flat in Tollygunge, Kolkata",₹66 Lac,"2,032 sqft",4 BHK
Garia Station Puja Pahari Apartment,"3 BHK Flat in Nabagram, Kolkata South",₹31.5 Lac,875 sqft,3 BHK
Garia Station Puja Pahari Apartment,"1 BHK Flat in Nabagram, Kolkata South",₹18.65 Lac,518 sqft,1 BHK
Ujjwala Luxary Apartments,"2 BHK Flat in New Town Action Area 2D, Kolkata",₹1 Cr,"1,195 sqft",2 BHK
"Deeshari Megacity
3.5","3 BHK Flat in Southern Bypass, Kolkata",₹37 Lac,"1,268 sqft",3 BHK
on request,"2 BHK Flat in Jadavpur, Kolkata",₹60 Lac,865 sqft,2 BHK
surojit apartment,"3 BHK Flat in No 2 Deshabondhu Nagar, Sodepur",₹35.5 Lac,"1,100 sqft",3 BHK
sachindra apartment,"2 BHK Flat in No 2 Deshabondhu Nagar, Sodepur",₹24 Lac,750 sqft,2 BHK
Surojit apartment,"3 BHK Flat in No 2 Deshabondhu Nagar, Sodepur",₹35.5 Lac,"1,100 sqft",3 BHK
surojit apartment,"2 BHK Flat in No 2 Deshabondhu Nagar, Sodepur",₹27.3 Lac,850 sqft,2 BHK
aristrocat construction,"2 BHK Flat in Railway Park, Sodepur",₹30.1 Lac,900 sqft,2 BHK
Eden Astor Park,"2 BHK Flat in Fartabad, Garia",₹56 Lac,"1,040 sqft",2 BHK
BB gate,"3 BHK Flat in New Town, Kolkata",₹1.15 Cr,"1,600 sqft",3 BHK
AGR Bulk,"3 BHK Flat in New Town, Kolkata",₹1.2 Cr,"1,700 sqft",3 BHK
Eden Serenity,"3 BHK Flat in EM Bypass, Kolkata South",₹58 Lac,"1,260 sqft",3 BHK
"Deeshari Megacity
3.5","3 BHK Flat in Southern Bypass, Kolkata",₹38.5 Lac,"1,268 sqft",3 BHK
"DLF New Town Heights
3.8","3 BHK Flat in New Town, Kolkata",₹1.45 Cr,"1,845 sqft",3 BHK
"Elita Garden Vista Phase 2
3.8","3 BHK Flat in New Town, Kolkata",₹1.25 Cr,"1,503 sqft",3 BHK
Madan Mohan Apartment,"3 BHK Flat in Behala Chowrasta, Kolkata",₹40 Lac,910 sqft,3 BHK
AKASHLINA APARTMENT,"3 BHK Flat in Konnagar Prantika, Hooghly",₹39.3 Lac,"1,310 sqft",3 BHK
On Request,"3 BHK Flat in Madurdaha, EM Bypass",₹95 Lac,"1,593 sqft",3 BHK
Greenfield City,"3 BHK Flat in Behala Chowrasta, Kolkata",₹54.9 Lac,"1,148 sqft",3 BHK
Atri Rays,"2 BHK Flat in Narendrapur, Kolkata",₹36 Lac,784 sqft,2 BHK
Atri Aqua,"2 BHK Flat in Narendrapur, Kolkata",₹36 Lac,856 sqft,2 BHK
Ghosh Para,"3 BHK Flat in Kestopur, Kolkata",₹44 Lac,"1,193 sqft",3 BHK
On Request,"2 BHK Flat in Kestopur, Kolkata",₹43 Lac,946 sqft,2 BHK
On Request,"2 BHK Independent Builder Floor in Thakurpukur, Kolkata",₹27.38 Lac,805 sqft,2 BHK
on Request,"1 BHK Flat in Baguiati, Kolkata",₹22 Lac,550 sqft,1 BHK
Eden Astor Park,"3 BHK Flat in Fartabad, Garia",₹77 Lac,"1,432 sqft",3 BHK
Residential Apartment,"2 BHK Flat in South Dumdum, Kolkata",₹38.4 Lac,800 sqft,2 BHK
On request,"3 BHK Flat in New Town, Kolkata",₹1.05 Cr,"1,200 sqft",3 BHK
"Ideal Abasan
3.6","3 BHK Flat in Rajarhat, Kolkata",₹50 Lac,"1,100 sqft",3 BHK
"Magnolia Oxygen
4.1","3 BHK Flat in Rajarhat, Kolkata",₹80 Lac,"1,170 sqft",3 BHK
Bengal Ambuja Ujjwala,"4 BHK Flat in Rajarhat, Kolkata",₹2.7 Cr,"2,607 sqft",4 BHK
"Siddha Galaxia
4.0","3 BHK Flat in Rajarhat, Kolkata",₹1.3 Cr,"1,285 sqft",3 BHK
"Morya
3.6","5 BHK Flat in Tollygunge, Kolkata",₹4.25 Cr,"4,050 sqft",5 BHK
"Siddha Happyville
4.2","2 BHK Flat in Rajarhat, Kolkata",₹70 Lac,712 sqft,2 BHK
"South City
4.0","3 BHK Flat in Prince Anwar Shah Rd, Kolkata",₹2.25 Cr,"1,472 sqft",3 BHK
On Request,"3 BHK Flat in Madurdaha, EM Bypass",₹75 Lac,"1,250 sqft",3 BHK
Old Plaza,"2 BHK Flat in Barrackpore, Kolkata",₹34.86 Lac,830 sqft,2 BHK
"Siva Shankar Apartment, New Booking","2 BHK Flat in Barrackpore, Kolkata",₹31.92 Lac,840 sqft,2 BHK
